model,prompt_style,reasoning,category,success_rate,mean_auc_iou,confirming_test_rate,hypothesis_change_rate
anthropic__claude-sonnet-4.6,adaptive,high,Арифметика,0.4,0.16466807460960092,0.8144329896907216,0.5329365079365079
anthropic__claude-sonnet-4.6,adaptive,high,Паттерн,0.18181818181818182,0.06509092687615416,0.7904761904761904,0.8072937163846255
anthropic__claude-sonnet-4.6,adaptive,high,Порядок,0.3333333333333333,0.057372775989442654,0.8765432098765432,0.8333333333333334
anthropic__claude-sonnet-4.6,adaptive,high,Смешанные,0.3,0.1869328056680162,0.6446280991735537,0.4825396825396825
anthropic__claude-sonnet-4.6,adaptive,high,Чётность,0.4,0.08401195885547201,0.8279569892473119,0.7258477633477634
openai__gpt-5.2,adaptive,high,Арифметика,0.6,0.09857160526315788,0.5645161290322581,0.705
openai__gpt-5.2,adaptive,high,Паттерн,0.2727272727272727,0.061210988835725684,0.4888888888888889,0.8370064279155188
openai__gpt-5.2,adaptive,high,Порядок,0.4444444444444444,0.0587780701754386,0.5407407407407407,0.8703703703703703
openai__gpt-5.2,adaptive,high,Смешанные,0.4,0.0666727170234736,0.6012269938650306,0.49944444444444447
openai__gpt-5.2,adaptive,high,Чётность,0.7,0.1270145675030379,0.6122448979591837,0.6388429217840982
