model,prompt_style,reasoning,turn,mean_iou,confirming_test_rate
anthropic__claude-sonnet-4.6,adaptive,high,1,0.07602,0.98
anthropic__claude-sonnet-4.6,adaptive,high,2,0.07047916666666666,0.7291666666666666
anthropic__claude-sonnet-4.6,adaptive,high,3,0.13180425531914894,0.851063829787234
anthropic__claude-sonnet-4.6,adaptive,high,4,0.05706136363636363,0.8409090909090909
anthropic__claude-sonnet-4.6,adaptive,high,5,0.08330697674418604,0.6976744186046512
anthropic__claude-sonnet-4.6,adaptive,high,6,0.05971,0.75
anthropic__claude-sonnet-4.6,adaptive,high,7,0.1055974358974359,0.7435897435897436
anthropic__claude-sonnet-4.6,adaptive,high,8,0.08864705882352941,0.9411764705882353
anthropic__claude-sonnet-4.6,adaptive,high,9,0.09190344827586207,0.6551724137931034
anthropic__claude-sonnet-4.6,adaptive,high,10,0.07957692307692307,0.9230769230769231
anthropic__claude-sonnet-4.6,adaptive,high,11,0.11221428571428571,0.6666666666666666
anthropic__claude-sonnet-4.6,adaptive,high,12,0.1758263157894737,0.5789473684210527
anthropic__claude-sonnet-4.6,adaptive,high,13,0.12244000000000002,0.7333333333333333
anthropic__claude-sonnet-4.6,adaptive,high,14,0.11872222222222223,0.5555555555555556
anthropic__claude-sonnet-4.6,adaptive,high,15,0.22225555555555557,0.5555555555555556
anthropic__claude-sonnet-4.6,adaptive,high,16,0.08435,0.5
anthropic__claude-sonnet-4.6,adaptive,high,17,0.0947,0.8333333333333334
anthropic__claude-sonnet-4.6,adaptive,high,18,0.09741666666666667,0.5
anthropic__claude-sonnet-4.6,adaptive,high,19,0.30875,1.0
openai__gpt-5.2,adaptive,high,1,0.013578000000000002,0.62
openai__gpt-5.2,adaptive,high,2,0.026436,0.58
openai__gpt-5.2,adaptive,high,3,0.02402,0.72
openai__gpt-5.2,adaptive,high,4,0.05632000000000001,0.56
openai__gpt-5.2,adaptive,high,5,0.08974897959183674,0.5918367346938775
openai__gpt-5.2,adaptive,high,6,0.13342127659574468,0.7021276595744681
openai__gpt-5.2,adaptive,high,7,0.12747727272727272,0.5227272727272727
openai__gpt-5.2,adaptive,high,8,0.1102390243902439,0.5853658536585366
openai__gpt-5.2,adaptive,high,9,0.0949875,0.5
openai__gpt-5.2,adaptive,high,10,0.12983589743589743,0.5384615384615384
openai__gpt-5.2,adaptive,high,11,0.1324081081081081,0.5675675675675675
openai__gpt-5.2,adaptive,high,12,0.08297428571428572,0.4857142857142857
openai__gpt-5.2,adaptive,high,13,0.09150588235294119,0.29411764705882354
openai__gpt-5.2,adaptive,high,14,0.06932424242424243,0.5454545454545454
openai__gpt-5.2,adaptive,high,15,0.02854375,0.59375
openai__gpt-5.2,adaptive,high,16,0.11539687500000001,0.5625
openai__gpt-5.2,adaptive,high,17,0.022993103448275865,0.5517241379310345
openai__gpt-5.2,adaptive,high,18,0.05951034482758621,0.5517241379310345
openai__gpt-5.2,adaptive,high,19,0.11526428571428571,0.35714285714285715
