model,prompt_style,reasoning,turn,mean_iou,confirming_test_rate
anthropic__claude-sonnet-4.6,adaptive,none,1,0.148696,1.0
anthropic__claude-sonnet-4.6,adaptive,none,2,0.113,0.6808510638297872
anthropic__claude-sonnet-4.6,adaptive,none,3,0.08268913043478261,0.8260869565217391
anthropic__claude-sonnet-4.6,adaptive,none,4,0.07890434782608695,0.6956521739130435
anthropic__claude-sonnet-4.6,adaptive,none,5,0.08565434782608695,0.8260869565217391
anthropic__claude-sonnet-4.6,adaptive,none,6,0.10640869565217391,0.782608695652174
anthropic__claude-sonnet-4.6,adaptive,none,7,0.09454,0.9111111111111111
anthropic__claude-sonnet-4.6,adaptive,none,8,0.07748222222222222,0.8222222222222222
anthropic__claude-sonnet-4.6,adaptive,none,9,0.10342444444444444,0.8666666666666667
anthropic__claude-sonnet-4.6,adaptive,none,10,0.07604883720930232,0.7209302325581395
anthropic__claude-sonnet-4.6,adaptive,none,11,0.10615116279069767,0.5813953488372093
anthropic__claude-sonnet-4.6,adaptive,none,12,0.08677619047619048,0.8571428571428571
anthropic__claude-sonnet-4.6,adaptive,none,13,0.09326341463414634,0.8536585365853658
anthropic__claude-sonnet-4.6,adaptive,none,14,0.08843999999999999,0.75
anthropic__claude-sonnet-4.6,adaptive,none,15,0.09032564102564103,0.8205128205128205
anthropic__claude-sonnet-4.6,adaptive,none,16,0.09784473684210526,0.7105263157894737
anthropic__claude-sonnet-4.6,adaptive,none,17,0.10075675675675676,0.7027027027027027
anthropic__claude-sonnet-4.6,adaptive,none,18,0.07289166666666666,0.7222222222222222
anthropic__claude-sonnet-4.6,adaptive,none,19,0.05934722222222222,0.75
deepseek__deepseek-v3.2,adaptive,none,1,0.145246,1.0
deepseek__deepseek-v3.2,adaptive,none,2,0.0403468085106383,0.6808510638297872
deepseek__deepseek-v3.2,adaptive,none,3,0.040906382978723406,0.9361702127659575
deepseek__deepseek-v3.2,adaptive,none,4,0.05191914893617021,0.723404255319149
deepseek__deepseek-v3.2,adaptive,none,5,0.08377446808510638,0.7021276595744681
deepseek__deepseek-v3.2,adaptive,none,6,0.07225869565217391,0.8478260869565217
deepseek__deepseek-v3.2,adaptive,none,7,0.057457777777777774,0.6
