model,prompt_style,reasoning,category,turn,mean_iou,confirming_test_rate
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,1,0.050440000000000006,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,2,0.02067,0.5
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,3,0.02357,0.7
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,4,0.024229999999999998,0.7
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,5,0.01138,0.9
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,6,0.01149,0.8
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,7,0.011510000000000001,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,8,0.01201,0.6
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,9,0.01712,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,10,0.01104,0.7
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,11,0.11037999999999999,0.7
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,12,0.0017777777777777779,0.7777777777777778
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,13,0.11185555555555554,0.8888888888888888
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,14,0.12555,0.625
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,15,0.0006428571428571429,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,16,0.14348571428571427,0.8571428571428571
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,17,0.0008333333333333334,0.6666666666666666
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,18,0.0008333333333333334,0.5
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,19,0.0008,0.5
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,1,0.09229090909090908,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,2,0.07912727272727273,0.7272727272727273
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,3,0.048054545454545454,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,4,0.04649090909090909,0.6363636363636364
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,5,0.047654545454545456,0.8181818181818182
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,6,0.04687272727272728,0.9090909090909091
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,7,0.04722727272727272,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,8,0.04704545454545454,0.8181818181818182
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,9,0.047,0.8181818181818182
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,10,0.05253636363636363,0.6363636363636364
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,11,0.06305454545454546,0.45454545454545453
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,12,0.09467272727272728,0.9090909090909091
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,13,0.0008199999999999999,0.9
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,14,0.0005,0.7
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,15,0.00027,0.8
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,16,0.01502,0.7
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,17,0.03244,0.8
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,18,0.0038399999999999997,0.8
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,19,0.00226,0.8
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,1,0.2398666666666667,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,2,0.07182857142857144,0.8571428571428571
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,3,0.047999999999999994,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,4,0.0179,0.8571428571428571
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,5,0.04795714285714286,0.8571428571428571
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,6,0.1424,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,7,8.333333333333333e-05,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,8,0.0,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,9,0.0,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,10,0.0002666666666666667,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,11,0.030583333333333334,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,12,0.024066666666666667,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,13,0.0038499999999999997,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,14,0.0,0.8333333333333334
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,15,0.16718333333333332,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,16,8e-05,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,17,0.006719999999999999,0.8
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,18,0.06559999999999999,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,19,0.0077,0.8
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,1,0.28945,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,2,0.18415555555555554,0.6666666666666666
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,3,0.16512222222222223,0.6666666666666666
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,4,0.18071111111111113,0.6666666666666666
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,5,0.1796888888888889,0.5555555555555556
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,6,0.21356666666666665,0.4444444444444444
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,7,0.2417888888888889,0.7777777777777778
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,8,0.13898888888888888,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,9,0.19525555555555557,0.6666666666666666
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,10,0.148175,0.75
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,11,0.147275,0.5
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,12,0.16348749999999998,0.875
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,13,0.1629375,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,14,0.1638,0.75
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,15,0.15575,0.5
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,16,0.1566125,0.375
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,17,0.25682499999999997,0.75
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,18,0.13552857142857141,0.7142857142857143
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,19,0.10852857142857143,0.8571428571428571
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,1,0.08619,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,2,0.20737,0.7
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,3,0.13525555555555557,0.7777777777777778
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,4,0.12491111111111113,0.6666666666666666
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,5,0.1499111111111111,1.0
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,6,0.1494888888888889,0.7777777777777778
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,7,0.16034444444444446,0.7777777777777778
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,8,0.17757777777777778,0.7777777777777778
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,9,0.2454,0.8888888888888888
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,10,0.17435,0.625
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,11,0.175675,0.375
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,12,0.1418625,0.75
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,13,0.1852875,0.5
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,14,0.152225,0.875
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,15,0.1583,0.875
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,16,0.163775,0.75
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,17,0.1638,0.5
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,18,0.16299999999999998,0.625
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,19,0.1638625,0.75
deepseek__deepseek-v3.2,adaptive,none,Арифметика,1,0.05066,1.0
deepseek__deepseek-v3.2,adaptive,none,Арифметика,2,0.0008500000000000001,0.5
deepseek__deepseek-v3.2,adaptive,none,Арифметика,3,0.00081,1.0
deepseek__deepseek-v3.2,adaptive,none,Арифметика,4,0.00063,0.5
deepseek__deepseek-v3.2,adaptive,none,Арифметика,5,0.00075,0.4
deepseek__deepseek-v3.2,adaptive,none,Арифметика,6,0.10021,1.0
deepseek__deepseek-v3.2,adaptive,none,Арифметика,7,0.0011444444444444445,0.5555555555555556
deepseek__deepseek-v3.2,adaptive,none,Арифметика,8,0.00036666666666666667,0.6666666666666666
deepseek__deepseek-v3.2,adaptive,none,Арифметика,9,0.0025,0.6666666666666666
deepseek__deepseek-v3.2,adaptive,none,Арифметика,10,0.0005666666666666667,0.6666666666666666
deepseek__deepseek-v3.2,adaptive,none,Арифметика,11,0.0003555555555555555,0.7777777777777778
deepseek__deepseek-v3.2,adaptive,none,Арифметика,12,0.0008777777777777779,0.4444444444444444
deepseek__deepseek-v3.2,adaptive,none,Арифметика,13,0.00039999999999999996,0.7777777777777778
deepseek__deepseek-v3.2,adaptive,none,Арифметика,14,0.0028666666666666667,0.8888888888888888
deepseek__deepseek-v3.2,adaptive,none,Арифметика,15,0.0007,0.6666666666666666
deepseek__deepseek-v3.2,adaptive,none,Арифметика,16,0.0025111111111111115,0.8888888888888888
deepseek__deepseek-v3.2,adaptive,none,Арифметика,17,0.11217777777777778,1.0
deepseek__deepseek-v3.2,adaptive,none,Арифметика,18,0.0004375,0.875
deepseek__deepseek-v3.2,adaptive,none,Арифметика,19,0.001075,0.875
deepseek__deepseek-v3.2,adaptive,none,Паттерн,1,0.09213636363636364,1.0
deepseek__deepseek-v3.2,adaptive,none,Паттерн,2,0.04773636363636364,0.9090909090909091
deepseek__deepseek-v3.2,adaptive,none,Паттерн,3,0.05130909090909091,0.7272727272727273
deepseek__deepseek-v3.2,adaptive,none,Паттерн,4,0.06765454545454545,0.9090909090909091
