model,prompt_style,reasoning,turn,mean_iou,confirming_test_rate
anthropic__claude-sonnet-4.6,baseline,high,1,0.136074,1.0
anthropic__claude-sonnet-4.6,baseline,high,2,0.09874042553191488,0.6382978723404256
anthropic__claude-sonnet-4.6,baseline,high,3,0.08729782608695652,0.8043478260869565
anthropic__claude-sonnet-4.6,baseline,high,4,0.09564545454545455,0.7954545454545454
anthropic__claude-sonnet-4.6,baseline,high,5,0.09060487804878048,0.7073170731707317
anthropic__claude-sonnet-4.6,baseline,high,6,0.12267105263157896,0.8157894736842105
anthropic__claude-sonnet-4.6,baseline,high,7,0.06686666666666666,0.9090909090909091
anthropic__claude-sonnet-4.6,baseline,high,8,0.07716999999999999,0.7666666666666667
anthropic__claude-sonnet-4.6,baseline,high,9,0.12869310344827586,0.5862068965517241
anthropic__claude-sonnet-4.6,baseline,high,10,0.1482,0.96
anthropic__claude-sonnet-4.6,baseline,high,11,0.08397368421052631,0.5789473684210527
anthropic__claude-sonnet-4.6,baseline,high,12,0.13668235294117648,0.7647058823529411
anthropic__claude-sonnet-4.6,baseline,high,13,0.08823333333333334,0.6666666666666666
anthropic__claude-sonnet-4.6,baseline,high,14,0.11660000000000001,0.7857142857142857
anthropic__claude-sonnet-4.6,baseline,high,15,0.11431428571428572,0.6428571428571429
anthropic__claude-sonnet-4.6,baseline,high,16,0.21149285714285715,0.7857142857142857
anthropic__claude-sonnet-4.6,baseline,high,17,0.12841538461538463,0.6153846153846154
anthropic__claude-sonnet-4.6,baseline,high,18,0.13408461538461539,0.7692307692307693
anthropic__claude-sonnet-4.6,baseline,high,19,0.14156153846153846,0.6153846153846154
openai__gpt-5.2,baseline,high,1,0.098468,0.9
openai__gpt-5.2,baseline,high,2,0.0530875,0.7916666666666666
openai__gpt-5.2,baseline,high,3,0.059885106382978726,0.6808510638297872
openai__gpt-5.2,baseline,high,4,0.08281739130434783,0.6956521739130435
openai__gpt-5.2,baseline,high,5,0.06702727272727273,0.7045454545454546
openai__gpt-5.2,baseline,high,6,0.08952558139534884,0.6046511627906976
openai__gpt-5.2,baseline,high,7,0.061151219512195126,0.6829268292682927
openai__gpt-5.2,baseline,high,8,0.06352250000000001,0.75
openai__gpt-5.2,baseline,high,9,0.05076666666666667,0.717948717948718
openai__gpt-5.2,baseline,high,10,0.05734871794871795,0.6923076923076923
openai__gpt-5.2,baseline,high,11,0.062297435897435895,0.6410256410256411
openai__gpt-5.2,baseline,high,12,0.09570000000000001,0.7631578947368421
openai__gpt-5.2,baseline,high,13,0.05186111111111111,0.6666666666666666
openai__gpt-5.2,baseline,high,14,0.05163333333333334,0.8611111111111112
openai__gpt-5.2,baseline,high,15,0.10757777777777779,0.75
openai__gpt-5.2,baseline,high,16,0.06052,0.6571428571428571
openai__gpt-5.2,baseline,high,17,0.06145428571428572,0.7714285714285715
openai__gpt-5.2,baseline,high,18,0.07666571428571428,0.6857142857142857
openai__gpt-5.2,baseline,high,19,0.18195714285714285,0.7428571428571429
